1.164285391569137573e-01,4.211269319057464600e-01
-7.225436274893581867e-04,-3.172113001346588135e-01
3.180123865604400635e-01,-2.974142320454120636e-02
-8.240708708763122559e-02,2.636251151561737061e-01
1.351937055587768555e-01,2.949921488761901855e-01
-2.033094689249992371e-02,4.027740657329559326e-02
-3.248014450073242188e-01,9.848704189062118530e-02
2.692648470401763916e-01,1.607503741979598999e-01
-2.404892146587371826e-01,3.151153326034545898e-01
5.696335434913635254e-02,1.123969326727092266e-03
1.821341812610626221e-01,-1.194278448820114136e-01
4.045895338058471680e-01,4.275186955928802490e-01
3.040459752082824707e-01,-2.200450003147125244e-01
-1.753743737936019897e-02,-4.898834973573684692e-02
8.187630772590637207e-02,-2.938658595085144043e-01
-1.155641451478004456e-01,2.698839306831359863e-01
-2.692422457039356232e-02,-4.795567989349365234e-01
-3.517764806747436523e-01,-2.693977020680904388e-02
-9.476681798696517944e-02,-8.152812719345092773e-02
-1.247202511876821518e-02,1.162823885679244995e-01
2.891924045979976654e-02,1.102490816265344620e-02
1.763220876455307007e-01,1.896778941154479980e-01
6.875237077474594116e-02,2.401472032070159912e-01
-1.726180464029312134e-01,3.038286864757537842e-01
-1.755911558866500854e-01,2.306793034076690674e-01
-2.841313481330871582e-01,1.820161044597625732e-01
2.845390141010284424e-01,3.590616583824157715e-02
1.704410463571548462e-01,1.482942402362823486e-01
-5.466447770595550537e-02,-1.366687268018722534e-01
2.170876711606979370e-01,-3.975376486778259277e-01
-7.150068134069442749e-02,1.151723973453044891e-02
-2.539026141166687012e-01,-2.228535525500774384e-02
